Word,詞性,中文翻譯,例句
a,其他,一個（不特定）,I see a cat.
able,其他,能夠的,He is able to swim.
about,其他,關於；大約,We talked about animals.
above,其他,在……上方,The picture is above the sofa.
across,其他,穿過；在對面,Walk across the street.
add,其他,加；增加,Add two numbers.
after,其他,在……之後,After lunch we read.
again,其他,再次,Read it again.
against,其他,反對；靠著,He is against the idea.
ago,其他,……之前,I met her two days ago.
air,其他,空氣,The air is fresh.
all,其他,全部,All students are here.
almost,其他,幾乎,It's almost noon.
along,其他,沿著；一起,Walk along the river.
also,其他,也,She sings and also dances.
always,其他,總是,She is always kind.
am,其他,是（第一人稱）,I am ready.
America,其他,美國；美洲,America is far away.
among,其他,在……之中,Share the cake among friends.
an,其他,一個（母音開頭）,I have an eraser.
and,其他,和；以及,I like apples and bananas.
animal,其他,動物,The zoo has many animals.
another,其他,另一個,May I have another one?
answer,其他,答案；回答,Please write your answer.
any,其他,任何的,Do you have any questions?
are,其他,是（複數/你）,They are happy.
area,其他,區域；範圍,This area is clean.
around,其他,在……周圍；到處,We walked around the lake.
as,其他,如同；當作,Use this box as a table.
ask,其他,詢問；要求,Ask your teacher.
at,其他,在（某地/時間）,Meet me at the park.
away,其他,離開；遠離,Put your phone away.
back,其他,背部；回來,Come back soon.
ball,其他,球；球狀物,Kick the ball.
base,其他,基礎；基地；底部,This is the base of the tower.
be,其他,是；成為,You can be a hero.
became,其他,成為（過去式）,The sky became dark.
because,其他,因為,I am happy because I passed.
become,其他,成為,Caterpillars become butterflies.
been,其他,曾經是/有（完成式）,I have been to Taipei.
before,其他,在……之前,Wash hands before dinner.
began,其他,開始（過去式）,The show began on time.
begin,其他,開始,We begin the lesson.
behind,其他,在……後面,Hide behind the tree.
being,其他,存在；生命；人/生物,Every living being needs water.
below,其他,在……下方,The pen is below the book.
best,其他,最好的,This is my best friend.
better,其他,更好的；更好地,I feel better now.
between,其他,在……之間,The ball is between two boxes.
big,其他,大的,That is a big tree.
bill,其他,帳單；法案；紙鈔,I paid the bill.
birds,其他,鳥（複數）,Birds can sing.
black,其他,黑色的,He wears a black hat.
boat,其他,小船；船,The boat is on the lake.
book,其他,書,This book is funny.
both,其他,兩者都,Both answers are right.
box,其他,盒子；箱子,Open the box.
boy,其他,男孩,The boy is running.
bring,其他,帶來,Bring your book tomorrow.
brought,其他,帶來（過去式）,She brought snacks.
building,其他,建築物,This building is tall.
built,其他,建造（過去式/分詞）,They built a bridge.
but,其他,但是,"I like rice, but I love noodles more."
by,其他,藉由；在……旁,We go to school by bus.
bus,公車
call,其他,打電話；叫做,Call me after dinner.
came,其他,來（過去式）,She came late.
can,其他,可以；會,I can swim.
can't,其他,不能（縮寫）,I can't swim yet.
cannot,其他,不能,I cannot open it.
car,其他,汽車,The car is red.
carefully,其他,小心地,Walk carefully.
carry,其他,攜帶；搬運,Carry the box carefully.
certain,其他,確定的；某些,I am certain about it.
change,其他,改變,Change your seat.
check,其他,檢查；勾選,Check your answers.
children,其他,孩子們,Children love stories.
circle,其他,圓；圈,Draw a big circle.
city,其他,城市,The city is busy.
class,其他,班級；課程；階級,Our class has 30 students.
clear,其他,清楚的；清澈的,The sky is clear.
close,其他,關閉；靠近；親近的,Please close the door.
cold,其他,冷的；感冒,It is cold today.
come,其他,來,Please come here.
common,其他,常見的；共同的,Cats are common pets.
complete,其他,完成；完整的,Please complete the form.
contain,其他,包含,Bottles contain water.
correct,其他,正確的；糾正,Your answer is correct.
could,其他,可以；能（過去/假設）,I could help you.
country,其他,國家；鄉下,Taiwan is my country.
course,其他,課程；路線；當然,I am taking a math course.
covered,其他,覆蓋的；掩蓋（過去式）,The ground is covered with snow.
cried,其他,哭（過去式）,The baby cried loudly.
cut,其他,切；剪,Cut the paper carefully.
dark,其他,黑暗的；深色的,It is dark outside.
day,其他,天；白天,It's a sunny day.
decided,其他,決定（過去式）,We decided to go.
deep,其他,深的,The water is deep.
did,其他,做（過去式）,I did my homework.
didn't,其他,沒有（過去式）,He didn't eat breakfast.
different,其他,不同的,We have different ideas.
do,其他,做；助動詞,I do my homework.
does,其他,做（第三人稱）,He does his homework.
dog,其他,狗,The dog is running.
don't,其他,不要；不,Don't run in class.
done,其他,完成的,I am done with homework.
door,其他,門,"Close the door, please."
down,其他,向下；往下,"Sit down, please."
draw,其他,畫；拉,Draw a circle.
dry,其他,乾的；弄乾,Dry your hands.
during,其他,在……期間,Be quiet during class.
each,其他,每一個,Each child has a sticker.
early,其他,早的；提早,We got up early.
earth,其他,地球；土壤,The earth goes around the sun.
easy,其他,容易的,This homework is easy.
eat,其他,吃,We eat breakfast at seven.
end,其他,結束；末端,This is the end of the story.
English,其他,英語；英國的,We speak English in class.
enough,其他,足夠的,We have enough water.
equation,其他,方程式,Solve the equation.
even,其他,甚至；甚至於,"He is strong, even stronger than me."
ever,其他,曾經；任何時候,Have you ever been there?
every,其他,每一個,I read every day.
example,其他,例子,Give one example.
explain,其他,解釋,Please explain the rule.
eyes,其他,眼睛（複數）,Close your eyes.
face,其他,臉；面對,Wash your face.
fact,其他,事實,That is a fact.
fall,其他,掉落；秋天（美）,Leaves fall in autumn.
family,其他,家庭,My family is lovely.
far,其他,遙遠的；遠,The store is far away.
farm,其他,農場；務農,We visited a farm.
fast,其他,快速的；很快地,He runs fast.
father,其他,父親,My father cooks dinner.
feel,其他,感覺；覺得,I feel sleepy.
feet,其他,腳（複數）；英尺（複數）,Wash your feet.
felt,其他,感覺（過去式）；毛氈,I felt happy today.
few,其他,很少的；一些,A few kids are absent.
field,其他,田野；領域；場地,We played on the field.
figure,其他,數字；圖形；人物,Write the figure on the paper.
filled,其他,充滿的；填滿（過去式）,The glass is filled with juice.
finally,其他,最後；終於,We finally finished.
find,其他,找到；發現,Can you find the key?
fine,其他,好的；細的；罰款,The weather is fine.
fire,其他,火；火災；解雇,The fire is warm.
first,其他,第一；首先,I finished first.
five,其他,五；五個,She has five dolls.
fly,其他,飛；蒼蠅,Birds can fly.
follow,其他,跟隨,Follow the rules.
food,其他,食物,The food smells good.
for,其他,為了；給,This gift is for you.
force,其他,力量；強迫,The wind has great force.
form,其他,表格；形成,Fill out the form.
found,其他,找到（過去式/過去分詞）,I found my keys.
four,其他,四；四個,I have four cups.
friends,其他,朋友（複數）,My friends are kind.
from,其他,從；自,She comes from Taiwan.
front,其他,前面,Stand in front of the class.
full,其他,滿的；飽的,My bag is full.
game,其他,遊戲；比賽,This game is fun.
gave,其他,給（過去式）,She gave me a gift.
get,其他,得到；變得,I get a new book.
girl,其他,女孩,The girl smiles.
give,其他,給；提供,"Give me a hand, please."
go,其他,去,We go to the zoo.
good,其他,好的,This cake tastes good.
got,其他,得到；get 的過去式,I got a present.
government,其他,政府,The government built a park.
great,其他,很棒的；偉大的,You did a great job!
green,其他,綠色的,The grass is green.
ground,其他,地面,Sit on the ground.
group,其他,群組；團體,Join our reading group.
grow,其他,成長；種植,Plants grow in spring.
had,其他,有；得到（過去式）,We had a great time.
half,其他,一半,Cut the cake in half.
hand,其他,手；幫忙,Raise your hand.
happened,其他,發生（過去式）,What happened here?
hard,其他,困難的；硬的；努力地,This test is hard.
has,其他,有（第三人稱）,She has a bike.
have,其他,有,I have two books.
he,其他,他,He is a kind boy.
head,其他,頭；首長,Shake your head.
hear,其他,聽見,I hear a song.
heard,其他,聽見（過去式）,I heard your song.
heat,其他,熱；加熱,Heat the soup slowly.
heavy,其他,重的,The box is heavy.
help,其他,幫助,Can you help me?
her,其他,她的；她（受格）,Her hat is pink.
here,其他,這裡,"Come here, please."
high,其他,高的,The mountain is high.
him,其他,他（受格）,I saw him yesterday.
himself,其他,他自己,He hurt himself.
his,其他,他的,This is his pencil.
hold,其他,拿著；舉行,Hold my hand.
home,其他,家；家庭,I go home at five.
horse,其他,馬,The horse runs fast.
hot,其他,熱的；辣的,It is hot today.
hours,其他,小時（複數）,We studied for two hours.
house,其他,房子,This house is old.
how,其他,如何；多麼,How are you today?
however,其他,然而；不過,"It was hot; however, we played."
hundred,其他,一百,A hundred is 100.
I,其他,我,I am eight years old.
I'll,其他,I will（我將）,I'll help you carry it.
